date,open,high,low,close,volume
2019-08-07,315.13,320.51,315.13,317.94,99565397
2019-08-08,322.9,322.9,318.35,320.62,61204969
2019-08-09,320.34,322.63,319.33,320.98,115456996
2019-08-12,320.98,325.98,318.4,322.19,86919552
2019-08-13,327.4,327.4,322.75,324.73,103631977
2019-08-14,321.17,321.17,317.38,319.15,139886610
2019-08-15,318.06,319.2,316.84,318.02,73783538
2019-08-16,315.86,318.76,313.88,316.32,114650120
2019-08-19,313.78,315.85,312.12,313.99,132849694
2019-08-20,313.4,315.18,310.92,313.05,92377900
2019-08-21,321.31,321.31,317.14,318.76,147013651
2019-08-22,316.21,319.3,311.78,315.54,94830738
2019-08-23,320.46,323.8,314.8,319.3,95919609
2019-08-26,314.78,315.6,310.3,312.95,138419625
2019-08-27,309.96,315.01,308.56,311.79,113591926
2019-08-28,313.67,316.64,308.34,312.49,136870667
2019-08-29,314.32,319.5,310.06,314.78,129041326
2019-08-30,313.57,320.73,313.57,317.56,121236690
2019-09-02,317.27,325.03,316.33,320.68,74148906
2019-09-03,317.81,323.85,315.02,319.43,89884309
2019-09-04,318.6,321.66,313.85,317.76,136445038
2019-09-05,321.31,323.69,318.56,321.12,111603238
2019-09-06,320.78,321.46,319.5,320.48,78020090
2019-09-09,318.75,318.75,314.98,315.67,82735269
2019-09-10,309.5,314.03,308.92,311.47,127583080
2019-09-11,308.09,310.73,305.54,308.13,67818576
2019-09-12,310.53,312.32,307.8,310.06,61209923
2019-09-13,309.54,313.6,307.77,310.69,126511054
2019-09-16,313.4,316.23,310.48,313.35,78838670
2019-09-17,309.35,315.86,307.82,311.84,126541253
2019-09-18,314.73,314.73,311.46,312.53,103361993
2019-09-19,313.89,316.52,313.41,314.97,149781569
2019-09-20,317.08,317.76,310.03,313.89,102492209
2019-09-23,315.66,319.82,311.6,315.71,136748552
2019-09-24,314.9,317.97,308.62,313.29,135043118
2019-09-25,311.94,316.19,307.86,312.02,71198425
2019-09-26,310.64,314.9,306.47,310.69,149612725
2019-09-27,305.43,308.19,304.46,306.32,124580136
2019-09-30,308.39,310.43,305.98,308.2,60721084
2019-10-01,307.05,308.24,304.88,306.56,50603820
2019-10-02,305.5,309.73,303.67,306.7,77138813
2019-10-03,308.37,312.94,304.18,308.56,51624348
2019-10-04,309.36,312.32,308.29,310.31,149636300
2019-10-07,316.47,316.47,309.99,312.88,97891840
2019-10-08,312.46,314.43,310.77,312.6,52390415
2019-10-09,313.51,313.51,309.8,311.11,99390974
2019-10-10,310.6,312.31,309.49,310.9,71910437
2019-10-11,305.1,305.54,303.86,304.7,135619506
2019-10-14,297.52,303.8,295.21,299.5,59056535
2019-10-15,294.18,296.97,292.7,294.84,127055930
2019-10-16,291.7,295.14,287.65,291.4,94596898
2019-10-17,295.2,296.06,289.7,292.88,51885157
2019-10-18,290.11,291.09,288.48,289.79,117313427
2019-10-21,290.56,290.56,287.32,288.56,95502176
2019-10-22,294.08,296.83,289.46,293.14,127155561
2019-10-23,294.36,294.36,290.39,291.98,111807383
2019-10-24,294.56,298.74,290.56,294.65,128725562
2019-10-25,294.92,294.92,290.32,291.44,96039558
2019-10-28,290.1,293.95,287.66,290.81,50793857
2019-10-29,286.48,291.2,283.96,287.58,63064525
2019-10-30,284.76,287.94,284.76,286.5,95890128
2019-10-31,292.84,292.84,287.85,289.47,89747408
2019-11-01,284.72,287.68,279.43,283.56,129436337
2019-11-04,284.64,286.67,283.57,285.12,91165569
2019-11-05,287.81,288.19,283.85,286.02,136018639
2019-11-06,285.04,286.23,281.9,284.07,68771592
2019-11-07,281.97,281.97,277.75,279.22,88487384
2019-11-08,277.38,282.93,276.17,279.55,125630711
2019-11-11,277.49,281.2,274.51,277.86,62409465
2019-11-12,278.07,280.64,276.79,278.71,125185627
2019-11-13,276.12,282.46,275.29,278.87,108898729
2019-11-14,285.82,285.82,282.96,284.31,127806894
2019-11-15,283.2,284.17,283.0,283.58,101573018
2019-11-18,281.22,282.83,277.54,280.19,135919129
2019-11-19,284.19,285.06,276.68,280.87,137742707
2019-11-20,281.2,282.4,280.99,281.7,147455880
2019-11-21,285.77,287.72,285.03,286.38,62201493
2019-11-22,289.5,291.86,286.8,289.33,109118965
2019-11-25,292.09,294.3,287.02,290.66,61426300
2019-11-26,295.01,296.78,294.92,295.85,72889381
2019-11-27,290.8,293.8,289.64,291.72,80031966
2019-11-28,291.1,292.96,286.17,289.57,114614430
2019-11-29,286.98,288.39,284.48,286.43,93121496
2019-12-02,282.26,286.45,282.26,285.18,136473642
2019-12-03,278.84,281.83,278.84,280.55,79854224
2019-12-04,284.9,284.9,280.7,282.78,111722955
2019-12-05,282.67,284.43,279.78,282.11,126318708
2019-12-06,276.16,280.87,273.55,277.21,148030931
2019-12-09,273.68,276.75,271.08,273.92,74526584
2019-12-10,275.05,278.05,272.01,275.03,123360351
2019-12-11,278.9,281.99,273.77,277.88,58477474
2019-12-12,282.69,286.71,282.53,284.62,104343141
2019-12-13,293.42,296.79,292.52,294.66,91379980
2019-12-16,296.62,300.36,292.06,296.21,127337928
2019-12-17,292.64,294.3,291.26,292.78,142725101
2019-12-18,286.2,288.66,282.1,285.38,135056194
2019-12-19,284.62,289.76,283.0,286.38,123334484
2019-12-20,284.18,284.6,282.75,283.67,53046742
2019-12-23,283.89,284.63,280.06,282.35,105788667
2019-12-24,281.04,281.65,279.07,280.36,54730007
2019-12-25,280.16,281.2,278.73,279.97,122419170
2019-12-26,283.5,285.91,281.36,283.63,146672245
2019-12-27,283.07,285.89,282.61,284.25,118138953
2019-12-30,283.69,287.3,280.29,283.8,133993740
2019-12-31,282.12,284.22,276.49,280.35,73436663
2020-01-01,274.64,278.22,271.39,274.8,149390653
2020-01-02,272.07,274.78,271.79,273.28,105075889
2020-01-03,272.52,274.71,271.67,273.19,117445124
2020-01-06,279.35,280.55,277.58,279.07,127060933
2020-01-07,279.06,280.64,278.54,279.59,113959288
2020-01-08,283.65,287.01,278.93,282.97,81712066
2020-01-09,282.09,283.39,279.32,281.36,111143023
2020-01-10,278.67,278.81,276.08,277.44,115397314
2020-01-13,276.26,277.88,270.74,274.31,135733828
2020-01-14,273.36,273.96,270.05,272.01,98148042
2020-01-15,277.73,279.72,277.73,279.04,100179968
2020-01-16,275.12,277.5,275.12,276.37,100315885
2020-01-17,279.13,282.11,276.35,279.23,61442076
2020-01-20,275.67,279.65,272.93,276.29,59005503
2020-01-21,277.87,280.79,277.87,279.46,52043226
2020-01-22,280.22,284.75,276.93,280.84,116621716
2020-01-23,279.73,284.06,276.73,280.39,91885960
2020-01-24,279.4,283.99,276.69,280.34,136568703
2020-01-27,277.78,279.6,276.84,278.22,120223727
2020-01-28,281.44,281.44,279.05,279.79,64143128
2020-01-29,278.63,282.05,274.65,278.35,60007326
2020-01-30,277.73,277.73,272.7,274.34,86610566
2020-01-31,270.45,272.93,267.5,270.22,142094366
2020-02-03,270.46,274.07,267.64,270.86,54866745
2020-02-04,276.08,277.08,275.06,276.07,68740103
2020-02-05,277.04,280.04,273.32,276.68,52963188
2020-02-06,276.97,280.3,272.45,276.37,91366446
2020-02-07,280.28,280.58,274.22,277.4,148965849
2020-02-10,280.64,284.01,279.65,281.83,118371447
2020-02-11,283.87,286.45,278.87,282.66,99347150
2020-02-12,281.64,283.84,278.86,281.35,64439781
2020-02-13,282.93,288.5,281.84,285.17,85551901
2020-02-14,287.83,290.35,283.09,286.72,102454272
2020-02-17,293.94,295.52,288.66,292.09,77487707
2020-02-18,291.57,294.5,291.14,292.82,120505952
2020-02-19,288.6,289.63,287.59,288.61,148001264
2020-02-20,281.51,285.4,281.51,283.96,70594202
2020-02-21,287.84,292.14,287.19,289.67,75225078
2020-02-24,297.3,298.28,293.21,295.75,62623353
2020-02-25,294.51,298.02,292.37,295.2,122570839
2020-02-26,292.3,296.03,291.83,293.93,96172058
2020-02-27,299.51,302.83,295.51,299.17,78375809
2020-02-28,294.52,299.38,291.19,295.29,71918485
2020-03-02,291.52,293.73,290.68,292.2,57048950
2020-03-03,295.64,297.96,291.14,294.55,97615695
2020-03-04,291.54,296.41,290.07,293.24,118327661
2020-03-05,291.98,295.89,290.73,293.31,73502912
2020-03-06,293.05,294.13,291.52,292.82,50163084
2020-03-09,295.52,297.73,290.47,294.1,97332400
2020-03-10,301.01,303.49,294.82,299.15,117574851
2020-03-11,298.57,302.98,296.16,299.57,84499709
2020-03-12,303.39,306.18,297.77,301.97,75037659
2020-03-13,293.48,298.99,290.28,294.63,65429229
2020-03-16,297.24,297.24,292.61,294.55,124610423
2020-03-17,290.01,294.66,288.66,291.66,136156627
2020-03-18,289.39,289.83,285.13,287.48,126975016
2020-03-19,283.6,288.76,280.32,284.54,122410723
2020-03-20,286.34,286.34,282.57,283.48,89691715
2020-03-23,287.53,288.79,284.57,286.68,52448344
2020-03-24,280.77,285.98,278.43,282.21,86757660
2020-03-25,281.66,284.0,280.79,282.39,120373661
2020-03-26,281.94,284.28,277.4,280.84,114734106
2020-03-27,281.29,281.77,277.87,279.82,149014561
2020-03-30,283.17,287.44,279.09,283.27,149749809
2020-03-31,285.25,289.03,281.34,285.18,74262536
2020-04-01,290.94,291.56,288.13,289.85,50956329
2020-04-02,289.59,292.87,285.92,289.4,77423857
2020-04-03,285.21,288.9,285.21,287.07,137613995
2020-04-06,285.22,289.21,283.55,286.38,131352654
2020-04-07,287.64,290.33,284.27,287.3,59875345
2020-04-08,289.74,291.68,284.31,287.99,66039680
2020-04-09,286.63,286.63,283.67,284.33,106352522
2020-04-10,285.84,286.11,283.34,284.73,116058367
2020-04-13,286.0,288.81,282.38,285.59,148233481
2020-04-14,295.41,297.05,291.56,294.31,125502637
2020-04-15,300.02,303.56,298.48,301.02,71185535
2020-04-16,297.8,298.84,297.22,298.03,53716066
2020-04-17,295.87,299.03,295.15,297.09,113361569
2020-04-20,290.14,295.83,288.1,291.96,105376209
2020-04-21,290.47,290.68,289.29,289.98,142175427
2020-04-22,291.44,293.25,289.08,291.17,107587725
2020-04-23,296.48,299.69,291.25,295.47,100124015
2020-04-24,293.77,293.77,292.19,292.97,80344289
2020-04-27,291.11,294.18,287.34,290.76,58626873
2020-04-28,284.14,284.87,281.84,283.35,137634466
2020-04-29,282.83,286.64,279.13,282.89,132606346
2020-04-30,279.94,282.63,276.1,279.37,66274971
2020-05-01,276.67,281.43,273.92,277.67,120389169
2020-05-04,275.34,276.16,273.51,274.84,86419470
2020-05-05,275.52,277.05,272.16,274.61,93703539
2020-05-06,268.0,272.16,265.64,268.9,134866868
2020-05-07,264.31,265.62,262.87,264.24,134202599
2020-05-08,270.23,272.43,269.72,271.08,69064275
2020-05-11,266.27,267.6,266.27,266.97,80760987
2020-05-12,262.05,267.35,259.72,263.53,132137413
2020-05-13,271.13,272.45,266.4,269.42,141699331
2020-05-14,280.38,281.76,276.03,278.9,57906917
2020-05-15,275.8,278.27,271.85,275.06,133359409
2020-05-18,276.63,276.63,271.49,273.93,98922906
2020-05-19,274.87,277.38,272.88,275.13,109031184
2020-05-20,285.18,285.18,278.72,280.92,57533066
2020-05-21,277.36,280.55,274.81,277.68,117790358
2020-05-22,277.3,278.22,275.66,276.94,116270507
2020-05-25,279.05,283.4,275.82,279.61,129060148
2020-05-26,281.68,284.68,277.62,281.15,144605654
2020-05-27,281.14,281.8,278.14,279.97,134985854
2020-05-28,279.44,282.27,276.94,279.6,124478364
2020-05-29,277.52,277.52,274.02,275.07,148126225
2020-06-01,274.7,278.39,270.35,274.37,117454351
2020-06-02,273.95,277.33,269.82,273.58,117201572
2020-06-03,273.17,278.26,270.58,274.42,104205706
2020-06-04,273.24,274.4,270.95,272.67,126906191
2020-06-05,274.11,275.45,273.15,274.3,57137579
2020-06-08,276.87,279.03,276.39,277.71,100575827
2020-06-09,277.23,279.2,277.23,278.32,92532100
2020-06-10,283.31,283.31,278.58,279.57,141273690
2020-06-11,279.47,280.65,279.02,279.84,57256069
2020-06-12,277.88,284.08,275.76,279.92,114375838
2020-06-15,276.61,278.4,276.61,277.58,68432999
2020-06-16,278.65,279.76,277.68,278.72,138355140
2020-06-17,279.24,282.03,274.92,278.48,135185415
2020-06-18,286.35,288.28,282.83,285.55,73545201
2020-06-19,292.02,294.54,287.52,291.03,137170592
2020-06-22,291.52,295.45,289.48,292.47,99673778
2020-06-23,290.37,293.78,285.97,289.88,147104378
2020-06-24,284.84,289.04,283.15,286.09,122981892
2020-06-25,289.37,292.82,287.72,290.27,53446376
2020-06-26,289.93,294.55,287.99,291.27,70272175
2020-06-29,291.29,295.33,290.75,293.04,90359789
2020-06-30,288.52,288.85,285.12,286.99,71133979
2020-07-01,291.27,292.61,287.92,290.27,63243071
2020-07-02,293.36,293.36,290.71,291.94,147804274
2020-07-03,288.19,291.7,284.58,288.14,136906276
2020-07-06,287.71,288.14,285.05,286.59,93461036
2020-07-07,285.05,288.73,285.05,287.59,71502706
2020-07-08,289.1,289.35,286.36,287.85,68181545
2020-07-09,287.18,290.65,283.22,286.93,141577216
2020-07-10,287.56,288.46,284.86,286.66,83146388
2020-07-13,286.42,289.0,282.76,285.88,51259759
2020-07-14,285.07,290.25,282.73,286.49,89737614
2020-07-15,289.45,292.51,289.45,291.63,95433994
2020-07-16,281.73,286.12,279.36,282.74,112308525
2020-07-17,282.82,283.71,280.33,282.02,83868749
2020-07-20,283.68,284.06,281.34,282.7,142301465
2020-07-21,281.85,286.9,280.68,283.79,114353846
2020-07-22,281.22,286.52,278.7,282.61,148659007
2020-07-23,275.74,278.35,275.12,276.74,86701704
2020-07-24,277.41,280.52,275.3,277.91,115169875
2020-07-27,281.82,285.39,281.82,283.75,86534041
2020-07-28,276.63,281.18,276.05,278.61,119992236
2020-07-29,280.43,284.43,278.75,281.59,124568449
2020-07-30,280.68,283.35,277.77,280.56,82182916
2020-07-31,278.78,283.27,277.6,280.44,143767192
2020-08-03,276.82,278.02,275.94,276.98,135715859
2020-08-04,277.41,278.99,272.91,275.95,139449784
2020-08-05,278.51,283.36,277.32,280.34,71779833
2020-08-06,282.09,285.45,279.31,282.38,121785105
2020-08-07,289.81,289.81,287.48,288.34,60638064
2020-08-10,291.89,294.78,290.21,292.5,60551030
2020-08-11,293.28,296.28,291.97,294.13,65289930
2020-08-12,302.12,302.12,299.43,300.37,136413867
2020-08-13,301.58,303.52,300.57,302.04,93080309
2020-08-14,306.82,307.49,302.78,305.13,80364513
2020-08-17,304.79,307.69,300.59,304.14,57349800
2020-08-18,303.95,306.02,302.93,304.47,117517071
2020-08-19,302.74,305.88,298.16,302.02,122133131
2020-08-20,306.18,308.47,302.91,305.69,96701835
2020-08-21,303.0,305.05,297.88,301.46,130994404
2020-08-24,303.55,306.86,301.91,304.38,82312820
2020-08-25,303.84,306.36,301.2,303.78,105167777
2020-08-26,308.05,311.24,305.04,308.14,78677421
2020-08-27,312.1,315.38,306.64,311.01,108222530
2020-08-28,316.27,320.57,315.23,317.9,63602744
2020-08-31,322.41,323.63,317.93,320.78,97616702
2020-09-01,315.56,317.92,311.73,314.83,104931808
2020-09-02,312.59,318.31,311.02,314.67,105654271
2020-09-03,312.21,312.21,309.42,310.34,94659668
2020-09-04,311.94,311.94,305.81,308.5,114357150
2020-09-07,315.76,316.78,311.59,314.19,78323712
2020-09-08,318.94,321.11,312.26,316.68,71535716
2020-09-09,314.26,316.77,311.48,314.12,114772215
2020-09-10,307.82,312.91,307.82,310.4,143861067
2020-09-11,307.75,315.12,306.1,310.61,125319120
2020-09-14,306.56,308.58,303.76,306.17,113859119
2020-09-15,302.9,305.12,302.47,303.8,142153271
2020-09-16,303.63,306.49,303.55,305.02,139960065
2020-09-17,309.25,310.35,308.34,309.34,100647090
2020-09-18,312.66,312.66,311.07,311.7,60927116
2020-09-21,301.02,305.53,300.91,303.22,113428384
2020-09-22,303.74,308.07,300.77,304.42,112285096
2020-09-23,307.07,308.29,301.26,304.77,77735532
2020-09-24,304.73,307.12,304.73,306.38,134946181
2020-09-25,313.77,315.35,309.47,312.41,136995134
2020-09-28,304.03,305.99,303.55,304.77,83092077
2020-09-29,303.53,307.01,298.39,302.7,97685814
2020-09-30,306.61,306.61,303.66,304.94,69514316
2020-10-01,300.35,302.28,296.21,299.24,67835171
2020-10-02,306.02,306.53,302.73,304.63,76502130
2020-10-05,304.31,309.23,302.9,306.07,86578738
2020-10-06,310.99,311.55,306.99,309.27,77293372
2020-10-07,305.93,310.89,303.6,307.24,65163473
2020-10-08,310.74,311.89,308.79,310.34,94719896
2020-10-09,314.82,318.74,310.08,314.41,112356398
2020-10-12,316.15,318.06,312.7,315.38,82596360
2020-10-13,316.9,320.11,312.62,316.36,103354927
2020-10-14,316.15,321.63,313.34,317.49,77127407
2020-10-15,312.17,319.0,309.58,314.29,120386053
2020-10-16,315.2,315.37,312.29,313.83,114851229
2020-10-19,313.64,315.14,311.55,313.35,146006080
2020-10-20,316.69,316.69,313.23,314.88,55303237
2020-10-21,318.69,320.48,317.03,318.76,84036377
2020-10-22,312.59,317.82,311.79,314.8,56604567
2020-10-23,315.94,319.12,309.74,314.43,118975196
2020-10-26,319.52,324.87,315.35,320.11,67172027
2020-10-27,317.89,320.16,314.54,317.35,67584974
2020-10-28,313.3,317.55,311.07,314.31,147965317
2020-10-29,317.76,319.32,311.02,315.17,72092786
2020-10-30,317.06,322.96,313.96,318.46,104716336
2020-11-02,318.06,320.08,317.12,318.6,70066662
2020-11-03,323.95,326.65,320.9,323.77,62399001
2020-11-04,325.41,331.4,323.0,327.2,50092610
2020-11-05,331.15,332.57,328.64,330.6,51604926
2020-11-06,335.58,335.58,330.33,332.9,97376775
2020-11-09,341.46,347.37,337.23,342.3,93400025
2020-11-10,342.23,346.62,336.5,341.56,53895878
2020-11-11,328.87,338.05,328.86,333.45,84959188
2020-11-12,339.9,344.18,335.76,339.97,77293981
2020-11-13,337.67,340.06,336.34,338.2,107132037
2020-11-16,337.36,340.83,336.65,338.74,149480342
2020-11-17,346.03,347.31,341.03,344.17,119164042
2020-11-18,337.1,340.79,334.52,337.65,141839621
2020-11-19,332.39,335.54,329.83,332.68,69222560
2020-11-20,325.78,329.75,323.04,326.39,71507580
2020-11-23,320.28,325.74,320.28,323.38,125080812
2020-11-24,323.34,329.0,321.36,325.18,81000243
2020-11-25,328.9,329.4,325.25,327.32,134877025
2020-11-26,325.04,330.58,325.04,328.51,96370458
2020-11-27,321.8,324.22,321.8,323.04,70082112
2020-11-30,313.55,315.58,312.78,314.18,134441354
2020-12-01,317.22,318.58,310.37,314.48,105045916
2020-12-02,313.99,315.23,310.35,312.79,130264594
2020-12-03,313.73,316.17,313.05,314.61,95224063
2020-12-04,319.43,321.12,313.59,317.36,62624143
2020-12-07,316.8,320.9,315.05,317.98,62444884
2020-12-08,322.59,322.59,320.24,320.97,116329080
2020-12-09,319.76,323.92,319.76,321.95,91673225
2020-12-10,325.84,325.84,322.7,324.1,129152943
2020-12-11,320.8,324.84,318.07,321.45,137009538
2020-12-14,319.21,322.65,319.07,320.86,90737240
2020-12-15,321.36,322.63,320.8,321.71,138208499
2020-12-16,325.43,325.86,324.09,324.97,61089928
2020-12-17,322.74,326.63,320.44,323.54,60736584
2020-12-18,326.56,326.56,324.91,325.66,149353877
2020-12-21,323.77,328.95,320.48,324.72,107429728
2020-12-22,325.36,325.66,323.05,324.36,95071327
2020-12-23,328.41,330.92,324.44,327.68,65567519
2020-12-24,319.85,322.43,317.45,319.94,78899773
2020-12-25,314.37,317.51,312.62,315.06,118612930
2020-12-28,309.79,310.46,308.64,309.55,132171322
2020-12-29,301.8,304.72,297.23,300.98,141643324
2020-12-30,301.7,302.68,294.55,298.62,90773349
2020-12-31,302.81,302.81,300.75,301.39,95476929
2021-01-01,301.92,301.92,299.15,300.45,66329794
2021-01-04,305.91,305.91,297.11,301.26,58308277
2021-01-05,306.07,308.07,302.49,305.28,93785047
2021-01-06,310.99,311.46,309.01,310.24,107925419
2021-01-07,311.17,311.51,308.64,310.07,60431615
2021-01-08,313.61,318.54,311.87,315.2,114156309
2021-01-11,314.95,319.25,312.04,315.65,131089875
2021-01-12,311.78,315.63,309.51,312.57,143848738
2021-01-13,311.44,314.9,305.97,310.43,84034446
2021-01-14,304.75,307.58,302.44,305.01,89172693
2021-01-15,302.06,303.63,300.07,301.85,137489720
2021-01-18,302.28,303.11,298.18,300.65,119327006
2021-01-19,304.95,305.66,301.61,303.64,77370040
2021-01-20,309.75,311.52,308.47,310.0,118514221
2021-01-21,303.93,305.74,303.93,304.95,65751763
2021-01-22,308.22,308.49,304.46,306.48,94904110
2021-01-25,303.91,306.15,299.34,302.74,80648037
2021-01-26,302.11,305.24,302.11,304.56,53491579
2021-01-27,303.69,306.51,301.82,304.17,135676617
2021-01-28,297.82,300.66,294.49,297.58,78124596
2021-01-29,302.15,303.97,297.99,300.98,53622368
2021-02-01,300.25,302.5,295.27,298.89,116011763
2021-02-02,297.48,300.79,293.34,297.06,117803359
2021-02-03,294.2,296.64,290.04,293.34,64228297
2021-02-04,291.22,292.09,290.15,291.12,53832566
2021-02-05,291.72,295.1,290.31,292.71,61136497
2021-02-08,291.75,295.0,289.25,292.13,90886980
2021-02-09,293.4,294.89,291.84,293.37,63238529
2021-02-10,294.68,295.48,293.98,294.73,120304311
2021-02-11,296.67,300.96,296.67,299.49,57755167
2021-02-12,297.75,300.71,295.99,298.35,128891665
2021-02-15,293.23,295.31,290.99,293.15,137463541
2021-02-16,296.57,298.27,295.72,296.99,121685132
2021-02-17,295.53,299.66,292.14,295.9,144411511
2021-02-18,300.68,304.16,295.74,299.95,143923093
2021-02-19,299.79,302.81,299.79,301.42,54656115
2021-02-22,298.58,305.27,296.79,301.03,126007178
2021-02-23,301.86,303.06,301.71,302.38,83963970
2021-02-24,310.73,313.89,305.21,309.55,123715174
2021-02-25,320.04,321.92,312.8,317.36,127430117
2021-02-26,318.96,318.96,317.03,317.72,149690942
2021-03-01,316.09,322.22,314.63,318.43,84787066
2021-03-02,322.26,327.35,317.92,322.63,52427376
2021-03-03,319.87,323.86,315.06,319.46,78550899
2021-03-04,321.11,325.52,316.14,320.83,78052926
2021-03-05,321.69,323.76,317.89,320.83,95308212
2021-03-08,320.65,323.1,320.65,322.13,92118002
2021-03-09,319.11,323.17,314.84,319.01,135657517
2021-03-10,313.67,316.14,309.89,313.02,127379024
2021-03-11,306.58,308.37,302.27,305.32,122859364
2021-03-12,300.11,303.56,299.08,301.32,50521274
2021-03-15,299.24,302.58,296.93,299.75,97162381
2021-03-16,294.75,299.98,294.75,298.79,122959875
2021-03-17,304.87,309.38,302.27,305.82,74456284
2021-03-18,309.16,310.9,309.05,309.97,92485159
2021-03-19,304.93,310.01,302.97,306.49,122701574
2021-03-22,308.11,311.87,303.85,307.86,129453993
2021-03-23,306.36,308.94,303.95,306.45,135452686
2021-03-24,302.04,308.13,302.04,305.49,92981264
2021-03-25,306.6,308.12,304.41,306.27,89995123
2021-03-26,307.2,313.14,304.13,308.63,88270716
2021-03-29,308.22,311.01,303.92,307.47,116858544
2021-03-30,309.49,313.6,309.37,311.49,91954863
2021-03-31,307.36,308.62,306.0,307.31,90021202
2021-04-01,306.99,308.92,305.93,307.43,66827669
2021-04-02,317.58,319.65,314.56,317.1,97849343
2021-04-05,318.24,322.58,313.51,318.05,73728844
2021-04-06,323.2,327.35,319.88,323.61,102491037
2021-04-07,321.58,325.62,321.58,324.06,138866191
2021-04-08,324.01,330.72,322.12,326.42,127572581
2021-04-09,325.34,328.55,324.04,326.3,97805428
2021-04-12,325.71,329.98,321.47,325.73,147750598
2021-04-13,321.8,324.44,321.12,322.78,148022526
2021-04-14,325.56,327.8,321.28,324.54,94436616
2021-04-15,320.87,325.84,316.81,321.32,126350318
2021-04-16,322.42,325.72,322.25,323.98,84231500
2021-04-19,327.84,331.92,324.69,328.3,137864512
2021-04-20,330.22,334.74,324.95,329.84,87359100
2021-04-21,329.34,330.11,327.51,328.81,75828062
2021-04-22,333.81,333.81,329.66,330.7,63388906
2021-04-23,328.47,333.12,326.03,329.57,134263758
2021-04-26,333.25,335.51,331.23,333.37,79693873
2021-04-27,326.84,327.1,325.19,326.15,131331925
2021-04-28,324.89,327.59,322.27,324.93,58644741
2021-04-29,316.47,321.01,313.52,317.27,100088358
2021-04-30,309.25,313.45,309.25,311.67,92789426
2021-05-03,316.05,318.88,314.85,316.86,93881947
2021-05-04,318.64,324.52,316.2,320.36,66735726
2021-05-05,314.95,320.48,314.91,317.69,57386535
2021-05-06,310.82,316.1,308.02,312.06,84640674
2021-05-07,299.48,303.4,298.7,301.05,97023309
2021-05-10,300.05,303.48,294.87,299.18,129357774
2021-05-11,308.88,311.18,304.74,307.96,96245456
2021-05-12,308.26,310.74,308.26,309.66,74592765
2021-05-13,307.27,311.83,303.52,307.67,76248992
2021-05-14,306.6,312.07,306.6,309.48,111189462
2021-05-17,303.03,304.94,302.61,303.78,93565747
2021-05-18,303.39,303.99,301.58,302.78,140118141
2021-05-19,304.49,306.55,299.92,303.24,93977129
2021-05-20,301.93,303.81,301.93,303.01,106692918
2021-05-21,307.59,307.73,304.23,305.98,56390445
2021-05-24,305.01,308.51,305.01,307.34,69379261
2021-05-25,307.96,312.29,307.5,309.89,135016673
